All 2131 irreps of the N=5, p=3 Fock space (2^75 states)
maximal weight (12, 6, 0, -6, -12), C2max = 240

    #                 lambda              partition     C2      dim
    1    (12, 6, 0, -6, -12)     (24, 18, 12, 6, 0)    240 282,475,249
    2    (11, 7, 0, -6, -12)     (23, 19, 12, 6, 0)    234 220,720,500
    3    (12, 5, 1, -6, -12)     (24, 17, 13, 6, 0)    234 231,868,000
    4   (12, 6, -1, -5, -12)     (24, 18, 11, 7, 0)    234 231,868,000
    5    (12, 6, 0, -7, -11)     (23, 17, 11, 4, 0)    234 220,720,500
    6    (10, 8, 0, -6, -12)     (22, 20, 12, 6, 0)    230 140,297,976
    7    (12, 4, 2, -6, -12)     (24, 16, 14, 6, 0)    230 152,028,576
    8   (12, 6, -2, -4, -12)     (24, 18, 10, 8, 0)    230 152,028,576
    9    (12, 6, 0, -8, -10)     (22, 16, 10, 2, 0)    230 140,297,976
   10     (9, 9, 0, -6, -12)     (21, 21, 12, 6, 0)    228 48,105,750
   11   (11, 7, -1, -5, -12)     (23, 19, 11, 7, 0)    228 179,729,550
   12    (11, 7, 0, -7, -11)     (22, 18, 11, 4, 0)    228 172,244,800
   13    (12, 3, 3, -6, -12)     (24, 15, 15, 6, 0)    228 52,916,325
   14    (12, 5, 1, -7, -11)     (23, 16, 12, 4, 0)    228 179,729,550
   15   (12, 6, -3, -3, -12)      (24, 18, 9, 9, 0)    228 52,916,325
   16     (12, 6, 0, -9, -9)      (21, 15, 9, 0, 0)    228 48,105,750
   17    (11, 6, 1, -6, -12)     (23, 18, 13, 6, 0)    227 200,037,600
   18    (12, 5, 0, -5, -12)     (24, 17, 12, 7, 0)    227 210,739,200
   19   (12, 6, -1, -6, -11)     (23, 17, 10, 5, 0)    227 200,037,600
   20   (10, 8, -1, -5, -12)     (22, 20, 11, 7, 0)    224 113,694,750
   21    (10, 8, 0, -7, -11)     (21, 19, 11, 4, 0)    224 109,395,000
   22   (11, 7, -2, -4, -12)     (23, 19, 10, 8, 0)    224 117,277,875
   23    (11, 7, 0, -8, -10)     (21, 17, 10, 2, 0)    224 109,395,000
   24    (12, 4, 2, -7, -11)     (23, 15, 13, 4, 0)    224 117,277,875
   25    (12, 5, 1, -8, -10)     (22, 15, 11, 2, 0)    224 113,694,750
   26    (9, 9, -1, -5, -12)     (21, 21, 11, 7, 0)    222 38,896,000
   27     (9, 9, 0, -7, -11)     (20, 20, 11, 4, 0)    222 37,494,600
   28    (10, 7, 1, -6, -12)     (22, 19, 13, 6, 0)    222 146,446,300
   29    (11, 5, 2, -6, -12)     (23, 17, 14, 6, 0)    222 151,351,200
   30   (11, 7, -3, -3, -12)      (23, 19, 9, 9, 0)    222 40,728,600
